Customer_ID,Customer_Name,Age,Gender,City,Registration_Date,Annual_Income,Purchase_Amount,Payment_Method,Phone,Email,Customer_Status,Customer_Segment
C0086, manish rai ,57,Female,Butwal,25/03/2024,"46,054",42662.38,Digital Wallet,9852501540,manish.rai81@example.com,Pending,Premium
C0054,Bikash Sharma,27,Other,Pokhara,9/16/2022,"149,141",33638.21,Card,9872415804,bikash.sharma90@example.com,Inactive,Premium
C0006,Prakash Karki,150,Other,Pokhara,1/29/2024,"118,132",10870.6,Mobile Banking,9896977837,prakash.karki10@example.com,Pending,New
C0069,Sneha Adhikari,46,Female,Lalitpur,4/20/2025,unknown,15616.32,Cash,9891823275,sneha.adhikari95@example.com,Active,Regular
C0074,Hari Poudel,45,Male,Butwal,10/23/2023,"90,632",1780.31,Card,9887201917,hari.poudel76@example.com,Active,New
C0040,Kiran Gurung,54,Female ,Lalitpur,11/4/2024,"1,200,000",41769.4,Mobile Banking,9848508907,kiran.gurung27@example.com,pending,New
C0050,Nabin Shrestha,32,Female,Lalitpur,6/11/2024,"152,308",1936.73,CARD,9899774697,nabin.shrestha87@example.com,Inactive,New
C0036,Prakash Tamang,50,Other,Bhaktapur,10/23/2025,"165,565",16891.92,Cash,,prakash.tamang34@example.com,Active,New
C0017,  Suman Sharma ,53,Other,Pokhara,4/20/2025,"82,728",855.95,Cash,9840728046,suman.sharma9@example.com,Active,Premium
C0120,Ram Karki,45,Other,Pokhara,9/22/2022,"124,669",750000,Card,9877144075,ram.karki72@example.com,Pending,Premium
C0035,Bikash Karki,37,Female,Biratnagar,4/12/2023,"83,438",1671.39,Card,98 41234567,bikash.karki43@example.com,Inactive,Regular
C0086,manish rai,57,Female,Butwal,25/03/2024,"46,054",42662.38,Digital Wallet,9852501540,manish.rai81@example.com,Pending,Premium
C0008,Sita Tamang,35,Female ,KATHMANDU,3/9/2023,"173,682",43880.2,Mobile Banking,9838538251,,Inactive,Premium
C0044,Ram Thapa,32,Female, Pokhara ,26-Nov-25,"160,779",23495.22,CASH,9826288475,ram.thapa59@example.com,Active,Premium
C0077,Kiran KC,47,Male,Kathmandu,10/7/2023,"91,164",16502.05,Digital Wallet,9879067939,kiran.kc1@example.com,Pending,New
C0105,  Ram Tamang ,55,Male,Lalitpur,2/2/2022,"70,677",13635.69,Card,9866500369,ram.tamang68@example.com,Active,New
C0111,Hari Thapa,23,Male ,,7/17/2022,"122,687",40682.58,Cash,9888714010,hari.thapa72@example.com,Pending,Premium
C0009,Puja Gurung,26,Female,Pokhara,2/23/2025,,13505.71,Digital Wallet,9888320463,puja.gurung52@example.com,Inactive,Regular
C0014,Suman Karki,25,Male,lalitpur,9/22/2023,"87,770",250000,Cash,9821496211,suman.karki94@example.com,Inactive,Regular
C0095,  Sabina Gurung ,36,Male,Lalitpur,4/30/2024,"71,042",10439.34,Mobile Banking,9881249799,sabina.gurung65@example.com,Inactive,Regular
C0004,Sabina Tamang,34,Other,Biratnagar,3/30/2022,"145,435",27043.29,Digital Wallet,9820576383,sabina.tamang71@example.com,Inactive,New
C0018,Hari KC,35,Male,Butwal,9/21/2024,1500000,27192.08,Digital Wallet,9842614537,hari.kc61@example.com,Inactive,Regular
C0039,Gita Rai,37,Other,Butwal,4/16/2024,"110,506",20418.82,Mobile Banking,,gita.rai17@example.com,Active,Premium
C0073,Nabin Poudel,,Female,Kathmandu,8/17/2024,"104,715",35136.82,Mobile Banking,9877172238,nabin.poudel70@example.com,Inactive,Premium
C0102,dipesh tamang,43,Male,Lalitpur,1/24/2023,"57,023",47476.03,Digital Wallet,,dipesh.tamang85@example.com,Active,New
C0007,Anisha KC,33,Other,Pokhara,8/4/2024,"124,471",13862.42,Card,9853524491,nabin example.com,Active,Regular
C0084,Sita Tamang,48,Other,Butwal,2/20/2024,"126,208",49426.49,Card,9876481885,sita.tamang5@example.com, Active ,New
C0113,Bikash Gurung,,Other,Pokhara,8/10/2022,"116,780",42345.98,Mobile Banking,9825419645,bikash.gurung98@example.com,Inactive,New
C0115,Riya Tamang,18,Female,Pokhara,10/21/2022,"173,457",33038.56,Cash,9829042093,riya.tamang95@example.com,Pending,Regular
C0055,Anisha Poudel,65,Other,Butwal,8/23/2022,"67,930",48253.68,Cash,9887669750,anisha.poudel4@example.com,Inactive,New
C0051,Anisha Karki,57,Male,Chitwan,2/25/2022,"128,290",29798.69,Cash,9821267237,ram@gmail,pending,Regular
C0121,Hari Adhikari,20,Other,Bhaktapur,2/8/2022,"145,521",46097.54,Mobile Banking,9887277086,hari.adhikari55@example.com,Pending,Premium
C0047,Nisha Rai,-5,Female,Chitwan,6/15/2022,"61,273",7966.12,Mobile banking,9830509175,nisha.rai91@example.com,Active,Regular
C0109,Puja KC,45,Other,Kathmandu,12/8/2025,"54,992",42713.24,Card,9867723010,puja.kc58@example.com,Active,Premium
C0062,Manish Karki,19,Female,Kathmandu,8/26/2023,"83,090",20517.86,Card,9851098277,manish.karki85@example.com,Pending,Premium
C0108,Hari Thapa,56,Female,POKHARA,5/15/2022,"58,080",14113.29,Mobile Banking,9861124122,hari.thapa77@example.com,Pending,Premium
C0080,Hari Shrestha,47,,Kathmandu,8/19/2025,"65,362",25169.59,Mobile Banking,9878299645,hari.shrestha91@example.com,Inactive,Premium
C0124,Sneha Thapa,50,Other,Pokhara,12/17/2023,-45000,36505.27,Card,9841711468,sneha.thapa14@example.com,active,Premium
C0092,Gita Shrestha,54,Female,Lalitpur,3/23/2025,"102,561",49638.26,Mobile Banking,9812944682,gita.shrestha85@example.com,Inactive,Premium
C0042,Nabin Tamang,33,Male,,9/28/2023,"83,888",40424.86,Card,9813278320,nabin.tamang6@example.com,Active,Premium
C0059,Roshan Poudel,38,Female,Biratnagar,5/18/2023,"47,718",14306.95,Digital Wallet,9842730796,roshan.poudel97@example.com,Inactive,New
C0091,Anisha Thapa,40,Female,Chitwan,9/5/2023,"136,230",34670.52,Digital Wallet,9850550084,anisha.thapa26@example.com,Inactive,Premium
C0049,Ram Poudel,48,Female,Kathmandu,12/22/2023,"103,279",unknown,Digital Wallet,9882238741,ram.poudel96@example.com,Pending,New
C0089,Aarav Shrestha,44,Other,Chitwan,10/28/2025,"72,200",8914.19,Cash,9891804602,aarav.shrestha49@example.com,Pending,New
C0112,Gita Adhikari,60,Female,Biratnagar,5/16/2024,950000,48435.73,Mobile Banking,9857197152,gita.adhikari14@example.com,Pending,New
C0058,Sabina Karki,,FEMALE,bhaktapur,12/27/2022,"161,772",48290.95,Mobile Banking,98412345,sabina.karki69@example.com,Inactive,Premium
C0076,Hari Karki,44,Female,Lalitpur,10/20/2023,"52,420",42957.79,Mobile Banking,9865250068,,Inactive,Premium
C0033,Nisha Thapa,53,Female,Biratnagar,4/12/2024,"65,515",46325.31,Card,9831810617,nisha.thapa23@example.com,Inactive,Regular
C0125,Bikash Gurung,27,Other,,9/4/2025,"44,753",9268.73,Digital Wallet,9872270726,bikash.gurung97@example.com,Pending,New
C0060,Nabin Adhikari,19,f,Bhaktapur,10/28/2023,"72,668","Rs. 12,500",Mobile Banking,9844675473,nabin.adhikari44@example.com,Inactive,New
C0064,Gita Shrestha,25,Female,Butwal,1/2/2025,"73,535",9981.28,Digital Wallet,9847111151,gita.shrestha93@example.com,Pending,New
C0110,Suman Karki,44,F,Butwal,7/14/2022,"106,932",21624.82,Mobile Banking,9860237832,suman.karki20@example.com,Pending,Premium
C0038,Sita Adhikari,51,Male,Biratnagar,1/7/2025,"76,651",18528.96,Cash,9899152472,sita.adhikari43@example.com,Pending,Premium
C0030,Prakash KC,34,Female,Biratnagar,4/15/2022,-45000,31897.08,Mobile Banking,9815917225,prakash.kc1@example.com,Inactive,Regular
C0108,Hari Thapa,56,Female,POKHARA,5/15/2022,"58,080",14113.29,Mobile Banking,9861124122,hari.thapa77@example.com,Pending,Premium
C0118,Prakash Shrestha,25,Other,Lalitpur,5/30/2024,"54,069",14520.7,mobile banking,9880723898,prakash.shrestha86@example.com,ACTIVE,Regular
C0002,Hari Shrestha,50,Male,Chitwan,2/24/2022,"172,127",10342.46,Digital Wallet,9839587039,hari.shrestha58@example.com,Pending,Premium
C0053,Hari Karki,unknown,Male,Chitwan,4/17/2022,"116,740",11599, Cash ,9897477029,hari.karki6@example.com,Active,Regular
C0022,Manish Shrestha,21,Female,Pokhara,30/02/2025,"25,565",49272.79,Mobile Banking,9871070189,manish.shrestha37@example.com,Inactive,New
C0003,Ram Gurung,45,Other,Lalitpur,24/07/2023,"65,758",11158.03,Mobile Banking,9823718431,ram.gurung12@example.com,Inactive,Regular
C0024,Manish KC,28,Other,Kathmandu,11/6/2024,"46,000",42641.46,Cash,9889864260,manish.kc9@example.com,Pending,Regular
C0104,Aarav Poudel,35,Male,Biratnagar,31/02/2024,"59,076",27240.67,Card,9824754064,aarav.poudel85@example.com,Active,Regular
C0100,Dipesh Gurung,47,Female,Lalitpur,10/5/2025,"166,608",unknown,Mobile banking,9865684858,dipesh.gurung84@example.com,Active,Premium
C0117,Sita Gurung,57,Male,Kathmandu,10/12/2025,"46,386",13969.09,Digital Wallet,9875184410,sita.gurung78@example.com,Inactive,Premium
C0088,gita karki,,Male,Lalitpur,3/1/2022,"37,056",16556.55,Cash,9849375156,gita.karki46@example.com,Inactive,Premium
C0120,Ram Karki,45,Other,Pokhara,9/22/2022,"124,669",750000,Card,9877144075,ram.karki72@example.com,Pending,Premium
C0075,Prakash Poudel,29,Male,Bhaktapur,11/28/2024,"140,927",45845.6,Card,9888561612,prakash.poudel56@example.com,Pending,Premium
C0087,Dipesh Sharma,22,Other,Pokhara,7/16/2025,"100,334",49872.58, Cash ,9868246664,dipesh.sharma13@example.com,Pending,New
C0083,Sabina Tamang,52,Other ,Bhaktapur,21-07-2024,"109,352",43545.28,Card,9886745380,sabina.tamang50@example.com,Active,Premium
C0122,roshan rai,43,Male,Kathmandu,10/28/2023,"70,055",40165.45,Digital Wallet,9858567046,roshan.rai12@example.com,Inactive,Regular
C0038,Sita Adhikari,51,Male,biratnagar,1/7/2025,"76,651",18528.96,Cash,9899152472,sita.adhikari43@example.com,Pending,Premium
C0021,Hari Karki,24,Other,Kathmandu,8/28/2025,"166,711",41883.37,CASH,-9812344701,hari.karki22@example.com,Inactive,Premium
C0061,Prakash KC,51,Male, Pokhara ,6/25/2022,"88,270",,Digital Wallet,9884514489,prakash.kc98@example.com,Active,New
C0072,Asha Shrestha,25,Female,Chitwan,4/6/2023,"64,056",45466.37,Card,9819584466,asha.shrestha8@example.com,Active,Premium
C0107,  Sneha Rai ,59,FEMALE,Kathmandu,5/5/2022,"150,562",42441.28,Digital Wallet,9824490391,sneha.rai63@example.com,Pending,Premium
C0015,Dipesh Gurung,60,Male,Bhaktapur,1/30/2025,"68,287",13620.3,Digital Wallet,9838427073,dipesh.gurung70@example.com,Pending,New
C0093,Ram Poudel,N/A,Other,Kathmandu,5/26/2025,"155,214",41725.53,Mobile Banking,9840885967,ram.poudel78@example.com,Inactive,Regular
C0103,Nabin Sharma,39,Male,Pokhara,9/15/2022,950000,10657.68,Card,9888703005,nabin.sharma28@example.com,Active,Premium
